State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land,county_fips,area,climate_reg_recs
01,00100,0100100,G01000100,01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",1,1,142950,182236,142950,100,78.44,147137,186695,147137,100,78.81,3264203919,5400949424,3264203919,100,60.44,077,1866768743.599786,Mixed-Humid
01,00200,0100200,G01000200,01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),2,2,157952,132446,4688,2.97,3.54,174305,171821,8116,4.66,4.72,399146403,2678716918,84572846,21.19,3.16,083,1572201436.4281256,Mixed-Humid
01,00200,0100200,G01000200,01,00301,0100301,G01000301,Alabama,Huntsville (North) & Madison (East) Cities,2,2,157952,93763,49709,31.47,53.02,174305,118924,55076,31.6,46.31,399146403,236143137,109473262,27.43,46.36,089,237107047.1191962,Mixed-Humid
01,00200,0100200,G01000200,01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),2,2,157952,98973,98782,62.54,99.81,174305,101522,100748,57.8,99.24,399146403,161227758,154106313,38.61,95.58,089,162395690.23392382,Mixed-Humid
01,00200,0100200,G01000200,01,00500,0100500,G01000500,Alabama,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),2,2,157952,99425,4773,3.02,4.8,174305,118345,10365,5.95,8.76,399146403,1914247741,50993983,12.78,2.66,095,1613789793.5119243,Mixed-Humid
01,00300,0100300,G01000300,01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),2,2,184424,132446,127758,69.27,96.46,243288,171821,163705,67.29,95.28,3125666394,2678716918,2594144072,82.99,96.84,083,1572201436.4281256,Mixed-Humid
01,00300,0100300,G01000300,01,00301,0100301,G01000301,Alabama,Huntsville (North) & Madison (East) Cities,2,2,184424,93763,44054,23.89,46.98,243288,118924,63848,26.24,53.69,3125666394,236143137,126669875,4.05,53.64,089,237107047.1191962,Mixed-Humid
01,00300,0100300,G01000300,01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),2,2,184424,98973,191,0.1,0.19,243288,101522,774,0.32,0.76,3125666394,161227758,7121445,0.23,4.42,089,162395690.23392382,Mixed-Humid
01,00300,0100300,G01000300,01,00500,0100500,G01000500,Alabama,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),2,2,184424,99425,12421,6.74,12.49,243288,118345,14961,6.15,12.64,3125666394,1914247741,397731001,12.72,20.78,095,1613789793.5119243,Mixed-Humid
01,00400,0100400,G01000400,01,00400,0100400,G01000400,Alabama,DeKalb & Jackson Counties,3,3,118378,118378,118378,100,100,124336,124336,124336,100,100,4804264081,4804270288,4804264081,100,100,071,2917660066.5154643,Mixed-Humid
